"Step","combo_domain_fully_connected_agents_4 - eval/avg_combo_accuracy","combo_domain_fully_connected_agents_4 - eval/avg_combo_accuracy__MIN","combo_domain_fully_connected_agents_4 - eval/avg_combo_accuracy__MAX"
"5","21.35791366906475","21.35791366906475","21.35791366906475"
"10","36.15107913669065","36.15107913669065","36.15107913669065"
"15","44.19964028776978","44.19964028776978","44.19964028776978"
"20","46.223021582733814","46.223021582733814","46.223021582733814"
"25","43.794964028776974","43.794964028776974","43.794964028776974"
"30","48.42625899280576","48.42625899280576","48.42625899280576"
"35","50.539568345323744","50.539568345323744","50.539568345323744"
"40","50.76438848920864","50.76438848920864","50.76438848920864"
"45","52.922661870503596","52.922661870503596","52.922661870503596"
"50","52.78776978417267","52.78776978417267","52.78776978417267"
"55","52.517985611510795","52.517985611510795","52.517985611510795"
"60","52.83273381294964","52.83273381294964","52.83273381294964"
"65","53.552158273381295","53.552158273381295","53.552158273381295"
"70","55.2158273381295","55.2158273381295","55.2158273381295"
"75","56.384892086330936","56.384892086330936","56.384892086330936"
