"Step","combo_domain_fully_connected_agents_4 - eval/avg_combo_accuracy","combo_domain_fully_connected_agents_4 - eval/avg_combo_accuracy__MIN","combo_domain_fully_connected_agents_4 - eval/avg_combo_accuracy__MAX"
"5","17.89568345323741","17.89568345323741","17.89568345323741"
"10","35.701438848920866","35.701438848920866","35.701438848920866"
"15","32.10431654676259","32.10431654676259","32.10431654676259"
"20","35.97122302158273","35.97122302158273","35.97122302158273"
"25","37.94964028776979","37.94964028776979","37.94964028776979"
"30","41.41187050359712","41.41187050359712","41.41187050359712"
"35","38.5341726618705","38.5341726618705","38.5341726618705"
"40","42.17625899280576","42.17625899280576","42.17625899280576"
"45","39.163669064748206","39.163669064748206","39.163669064748206"
"50","42.26618705035971","42.26618705035971","42.26618705035971"
"55","43.165467625899275","43.165467625899275","43.165467625899275"
"60","43.07553956834533","43.07553956834533","43.07553956834533"
"65","45.413669064748206","45.413669064748206","45.413669064748206"
"70","47.12230215827338","47.12230215827338","47.12230215827338"
"75","42.67086330935252","42.67086330935252","42.67086330935252"
"80","42.67086330935252","42.67086330935252","42.67086330935252"
"85","43.16546762589928","43.16546762589928","43.16546762589928"
"90","42.7158273381295","42.7158273381295","42.7158273381295"
"95","44.964028776978424","44.964028776978424","44.964028776978424"
"100","42.850719424460436","42.850719424460436","42.850719424460436"
"105","44.469424460431654","44.469424460431654","44.469424460431654"
"110","41.99640287769785","41.99640287769785","41.99640287769785"
"115","41.95143884892086","41.95143884892086","41.95143884892086"
"120","45.09892086330935","45.09892086330935","45.09892086330935"
"125","46.71762589928057","46.71762589928057","46.71762589928057"
"130","43.30035971223022","43.30035971223022","43.30035971223022"
"135","44.739208633093526","44.739208633093526","44.739208633093526"
"140","43.70503597122302","43.70503597122302","43.70503597122302"
"145","46.627697841726615","46.627697841726615","46.627697841726615"
"150","46.71762589928058","46.71762589928058","46.71762589928058"
"155","45.50359712230215","45.50359712230215","45.50359712230215"
"160","45.368705035971225","45.368705035971225","45.368705035971225"
"165","46.53776978417267","46.53776978417267","46.53776978417267"
"170","44.649280575539564","44.649280575539564","44.649280575539564"
"175","47.88669064748201","47.88669064748201","47.88669064748201"
"180","50.224820143884884","50.224820143884884","50.224820143884884"
"185","49.37050359712231","49.37050359712231","49.37050359712231"
"190","46.94244604316546","46.94244604316546","46.94244604316546"
"195","49.05575539568345","49.05575539568345","49.05575539568345"
"200","44.96402877697842","44.96402877697842","44.96402877697842"
