"Step","combo_domain_disconnected_agents_4 - eval/avg_combo_accuracy","combo_domain_disconnected_agents_4 - eval/avg_combo_accuracy__MIN","combo_domain_disconnected_agents_4 - eval/avg_combo_accuracy__MAX"
"5","21.58273381294964","21.58273381294964","21.58273381294964"
"10","33.138489208633096","33.138489208633096","33.138489208633096"
"15","35.61151079136691","35.61151079136691","35.61151079136691"
"20","37.09532374100719","37.09532374100719","37.09532374100719"
"25","38.399280575539564","38.399280575539564","38.399280575539564"
"30","37.5","37.5","37.5"
"35","40.78237410071942","40.78237410071942","40.78237410071942"
"40","42.0863309352518","42.0863309352518","42.0863309352518"
"45","43.48021582733813","43.48021582733813","43.48021582733813"
"50","43.57014388489209","43.57014388489209","43.57014388489209"
"55","42.131294964028775","42.131294964028775","42.131294964028775"
"60","45.32374100719424","45.32374100719424","45.32374100719424"
"65","42.40107913669065","42.40107913669065","42.40107913669065"
"70","40.017985611510795","40.017985611510795","40.017985611510795"
"75","41.99640287769784","41.99640287769784","41.99640287769784"
"80","45.593525179856115","45.593525179856115","45.593525179856115"
"85","46.85251798561151","46.85251798561151","46.85251798561151"
"90","41.41187050359713","41.41187050359713","41.41187050359713"
"95","45.233812949640296","45.233812949640296","45.233812949640296"
"100","44.19964028776978","44.19964028776978","44.19964028776978"
"105","46.08812949640288","46.08812949640288","46.08812949640288"
"110","44.10971223021582","44.10971223021582","44.10971223021582"
"115","46.0431654676259","46.0431654676259","46.0431654676259"
"120","47.931654676258994","47.931654676258994","47.931654676258994"
"125","48.78597122302158","48.78597122302158","48.78597122302158"
"130","42.086330935251794","42.086330935251794","42.086330935251794"
"135","46.447841726618705","46.447841726618705","46.447841726618705"
"140","43.97482014388489","43.97482014388489","43.97482014388489"
"145","45.27877697841727","45.27877697841727","45.27877697841727"
"150","46.447841726618705","46.447841726618705","46.447841726618705"
"155","47.43705035971223","47.43705035971223","47.43705035971223"
"160","46.31294964028777","46.31294964028777","46.31294964028777"
"165","44.649280575539564","44.649280575539564","44.649280575539564"
"170","46.89748201438849","46.89748201438849","46.89748201438849"
"175","46.0431654676259","46.0431654676259","46.0431654676259"
"180","46.627697841726615","46.627697841726615","46.627697841726615"
"185","46.89748201438849","46.89748201438849","46.89748201438849"
"190","49.100719424460436","49.100719424460436","49.100719424460436"
"195","50.044964028776974","50.044964028776974","50.044964028776974"
"200","49.010791366906474","49.010791366906474","49.010791366906474"
