"Step","federated_agents_5_dataset_cifar10 - eval/global_knn_accuracy","federated_agents_5_dataset_cifar10 - eval/global_knn_accuracy__MIN","federated_agents_5_dataset_cifar10 - eval/global_knn_accuracy__MAX"
"5","45.62","45.62","45.62"
"10","47.84","47.84","47.84"
"15","49.45","49.45","49.45"
"20","49.43","49.43","49.43"
"25","51.55","51.55","51.55"
"30","52.3","52.3","52.3"
"35","53.59","53.59","53.59"
"40","54.82","54.82","54.82"
"45","55.11","55.11","55.11"
"50","55.42","55.42","55.42"
"55","56.26","56.26","56.26"
"60","56.52","56.52","56.52"
"65","56.97","56.97","56.97"
"70","57.45","57.45","57.45"
"75","57.85","57.85","57.85"
"80","58.96","58.96","58.96"
"85","59.38","59.38","59.38"
"90","59.84","59.84","59.84"
"95","59.86","59.86","59.86"
"100","60.61","60.61","60.61"
"105","61","61","61"
"110","61.4","61.4","61.4"
"115","61.95","61.95","61.95"
"120","61.93","61.93","61.93"
"125","62.95","62.95","62.95"
"130","62.74","62.74","62.74"
"135","63.21","63.21","63.21"
"140","63.45","63.45","63.45"
"145","63.45","63.45","63.45"
"150","63.75","63.75","63.75"
"155","64.59","64.59","64.59"
"160","64.27","64.27","64.27"
"165","65.01","65.01","65.01"
"170","65.23","65.23","65.23"
"175","65.63","65.63","65.63"
"180","65.62","65.62","65.62"
"185","65.83","65.83","65.83"
"190","65.75","65.75","65.75"
"195","66.23","66.23","66.23"
"200","66.59","66.59","66.59"
