"Step","combo_domain_fully_connected_agents_4 - eval/angle_75th_percentile","combo_domain_fully_connected_agents_4 - eval/angle_75th_percentile__MIN","combo_domain_fully_connected_agents_4 - eval/angle_75th_percentile__MAX"
"5","22.76888084411621","22.76888084411621","22.76888084411621"
"10","21.980987548828125","21.980987548828125","21.980987548828125"
"15","23.31785774230957","23.31785774230957","23.31785774230957"
"20","24.561992645263672","24.561992645263672","24.561992645263672"
"25","23.596040725708008","23.596040725708008","23.596040725708008"
"30","24.961830139160156","24.961830139160156","24.961830139160156"
"35","24.42322540283203","24.42322540283203","24.42322540283203"
"40","24.1224365234375","24.1224365234375","24.1224365234375"
"45","24.560161590576172","24.560161590576172","24.560161590576172"
"50","25.602718353271484","25.602718353271484","25.602718353271484"
"55","24.206653594970703","24.206653594970703","24.206653594970703"
"60","25.408184051513672","25.408184051513672","25.408184051513672"
"65","25.00238800048828","25.00238800048828","25.00238800048828"
"70","23.984466552734375","23.984466552734375","23.984466552734375"
"75","25.97026824951172","25.97026824951172","25.97026824951172"
"80","24.791133880615234","24.791133880615234","24.791133880615234"
"85","25.14594841003418","25.14594841003418","25.14594841003418"
"90","27.175067901611328","27.175067901611328","27.175067901611328"
"95","28.248109817504883","28.248109817504883","28.248109817504883"
"100","26.493148803710938","26.493148803710938","26.493148803710938"
"105","26.215885162353516","26.215885162353516","26.215885162353516"
"110","25.405311584472656","25.405311584472656","25.405311584472656"
"115","24.66244125366211","24.66244125366211","24.66244125366211"
"120","25.890193939208984","25.890193939208984","25.890193939208984"
"125","24.97245979309082","24.97245979309082","24.97245979309082"
"130","24.68526840209961","24.68526840209961","24.68526840209961"
"135","25.425552368164062","25.425552368164062","25.425552368164062"
"140","24.954858779907227","24.954858779907227","24.954858779907227"
"145","25.470996856689453","25.470996856689453","25.470996856689453"
"150","24.909221649169922","24.909221649169922","24.909221649169922"
"155","24.79494285583496","24.79494285583496","24.79494285583496"
"160","24.428592681884766","24.428592681884766","24.428592681884766"
"165","25.19693374633789","25.19693374633789","25.19693374633789"
"170","24.780452728271484","24.780452728271484","24.780452728271484"
"175","24.211544036865234","24.211544036865234","24.211544036865234"
"180","24.927635192871094","24.927635192871094","24.927635192871094"
"185","26.119077682495117","26.119077682495117","26.119077682495117"
"190","24.365571975708008","24.365571975708008","24.365571975708008"
"195","24.65948486328125","24.65948486328125","24.65948486328125"
"200","24.330860137939453","24.330860137939453","24.330860137939453"
