"Step","combo_domain_fully_connected_agents_4 - eval/avg_combo_accuracy","combo_domain_fully_connected_agents_4 - eval/avg_combo_accuracy__MIN","combo_domain_fully_connected_agents_4 - eval/avg_combo_accuracy__MAX"
"5","22.302158273381295","22.302158273381295","22.302158273381295"
"10","36.01618705035971","36.01618705035971","36.01618705035971"
"15","44.55935251798561","44.55935251798561","44.55935251798561"
"20","44.3794964028777","44.3794964028777","44.3794964028777"
"25","47.03237410071942","47.03237410071942","47.03237410071942"
"30","46.94244604316547","46.94244604316547","46.94244604316547"
"35","46.76258992805755","46.76258992805755","46.76258992805755"
"40","51.70863309352518","51.70863309352518","51.70863309352518"
"45","53.057553956834525","53.057553956834525","53.057553956834525"
"50","52.20323741007194","52.20323741007194","52.20323741007194"
"55","48.42625899280576","48.42625899280576","48.42625899280576"
"60","51.07913669064748","51.07913669064748","51.07913669064748"
"65","53.372302158273385","53.372302158273385","53.372302158273385"
"70","53.91187050359712","53.91187050359712","53.91187050359712"
"75","53.417266187050366","53.417266187050366","53.417266187050366"
"80","52.11330935251799","52.11330935251799","52.11330935251799"
"85","52.2931654676259","52.2931654676259","52.2931654676259"
"90","54.361510791366904","54.361510791366904","54.361510791366904"
"95","52.96762589928058","52.96762589928058","52.96762589928058"
"100","55.89028776978417","55.89028776978417","55.89028776978417"
"105","54.856115107913666","54.856115107913666","54.856115107913666"
"110","59.12769784172662","59.12769784172662","59.12769784172662"
"115","55.035971223021576","55.035971223021576","55.035971223021576"
"120","55.98021582733813","55.98021582733813","55.98021582733813"
"125","55.84532374100719","55.84532374100719","55.84532374100719"
"130","55.03597122302158","55.03597122302158","55.03597122302158"
"135","57.32913669064749","57.32913669064749","57.32913669064749"
"140","54.181654676258994","54.181654676258994","54.181654676258994"
"145","58.58812949640288","58.58812949640288","58.58812949640288"
"150","58.85791366906475","58.85791366906475","58.85791366906475"
"155","56.42985611510791","56.42985611510791","56.42985611510791"
"160","58.273381294964025","58.273381294964025","58.273381294964025"
"165","56.60971223021582","56.60971223021582","56.60971223021582"
"170","58.49820143884892","58.49820143884892","58.49820143884892"
"175","58.58812949640288","58.58812949640288","58.58812949640288"
"180","58.093525179856115","58.093525179856115","58.093525179856115"
"185","59.26258992805755","59.26258992805755","59.26258992805755"
"190","60.431654676258994","60.431654676258994","60.431654676258994"
"195","58.36330935251799","58.36330935251799","58.36330935251799"
"200","58.947841726618705","58.947841726618705","58.947841726618705"
