"Step","decentralized_disconnected_agents_10_hetero_label_skew_personalized - eval/avg_global_accuracy","decentralized_disconnected_agents_10_hetero_label_skew_personalized - eval/avg_global_accuracy__MIN","decentralized_disconnected_agents_10_hetero_label_skew_personalized - eval/avg_global_accuracy__MAX"
"5","39.263","39.263","39.263"
"10","41.329","41.329","41.329"
"15","42.304","42.304","42.304"
"20","42.929","42.929","42.929"
"25","43.558","43.558","43.558"
"30","43.95799999999999","43.95799999999999","43.95799999999999"
"35","44.443","44.443","44.443"
"40","44.462999999999994","44.462999999999994","44.462999999999994"
"45","44.827000000000005","44.827000000000005","44.827000000000005"
"50","45.149","45.149","45.149"
"55","45.602000000000004","45.602000000000004","45.602000000000004"
"60","45.46000000000001","45.46000000000001","45.46000000000001"
"65","45.843999999999994","45.843999999999994","45.843999999999994"
"70","46.245000000000005","46.245000000000005","46.245000000000005"
"75","46.71900000000001","46.71900000000001","46.71900000000001"
"80","46.668","46.668","46.668"
"85","46.846","46.846","46.846"
"90","47.208","47.208","47.208"
"95","47.345000000000006","47.345000000000006","47.345000000000006"
"100","47.55","47.55","47.55"
"105","47.58800000000001","47.58800000000001","47.58800000000001"
"110","47.63099999999999","47.63099999999999","47.63099999999999"
"115","47.99","47.99","47.99"
"120","48.429","48.429","48.429"
"125","48.193","48.193","48.193"
"130","48.641000000000005","48.641000000000005","48.641000000000005"
"135","48.629999999999995","48.629999999999995","48.629999999999995"
"140","48.620999999999995","48.620999999999995","48.620999999999995"
"145","49.065","49.065","49.065"
"150","48.932","48.932","48.932"
"155","49.155","49.155","49.155"
"160","49.22","49.22","49.22"
"165","49.407","49.407","49.407"
"170","49.63000000000001","49.63000000000001","49.63000000000001"
"175","49.61","49.61","49.61"
"180","49.961000000000006","49.961000000000006","49.961000000000006"
"185","49.664","49.664","49.664"
"190","49.958999999999996","49.958999999999996","49.958999999999996"
"195","49.928999999999995","49.928999999999995","49.928999999999995"
"200","50.33","50.33","50.33"
