"Step","decentralized_random_agents_10_hetero_label_skew_personalized - eval/avg_global_accuracy","decentralized_random_agents_10_hetero_label_skew_personalized - eval/avg_global_accuracy__MIN","decentralized_random_agents_10_hetero_label_skew_personalized - eval/avg_global_accuracy__MAX"
"5","43.038","43.038","43.038"
"10","44.754","44.754","44.754"
"15","45.65","45.65","45.65"
"20","46.136","46.136","46.136"
"25","46.7","46.7","46.7"
"30","47.164","47.164","47.164"
"35","47.251000000000005","47.251000000000005","47.251000000000005"
"40","47.60799999999999","47.60799999999999","47.60799999999999"
"45","48.352000000000004","48.352000000000004","48.352000000000004"
"50","48.467","48.467","48.467"
"55","49.245999999999995","49.245999999999995","49.245999999999995"
"60","49.364999999999995","49.364999999999995","49.364999999999995"
"65","49.929","49.929","49.929"
"70","50.524","50.524","50.524"
"75","50.419","50.419","50.419"
"80","50.897000000000006","50.897000000000006","50.897000000000006"
"85","51.118","51.118","51.118"
"90","51.37599999999999","51.37599999999999","51.37599999999999"
"95","51.565999999999995","51.565999999999995","51.565999999999995"
"100","51.672000000000004","51.672000000000004","51.672000000000004"
"105","52.18399999999999","52.18399999999999","52.18399999999999"
"110","52.234","52.234","52.234"
"115","52.455999999999996","52.455999999999996","52.455999999999996"
"120","52.590999999999994","52.590999999999994","52.590999999999994"
"125","52.885000000000005","52.885000000000005","52.885000000000005"
"130","53.076","53.076","53.076"
"135","53.354000000000006","53.354000000000006","53.354000000000006"
"140","53.648","53.648","53.648"
"145","53.751","53.751","53.751"
"150","53.795","53.795","53.795"
"155","53.948","53.948","53.948"
"160","54.153","54.153","54.153"
"165","54.491","54.491","54.491"
"170","54.516999999999996","54.516999999999996","54.516999999999996"
"175","54.663","54.663","54.663"
"180","54.818000000000005","54.818000000000005","54.818000000000005"
"185","55.075","55.075","55.075"
"190","55.348","55.348","55.348"
"195","55.477","55.477","55.477"
"200","55.529999999999994","55.529999999999994","55.529999999999994"
