"Step","decentralized_fully_connected_agents_5_hetero_label_skew_personalized - eval/avg_global_accuracy","decentralized_fully_connected_agents_5_hetero_label_skew_personalized - eval/avg_global_accuracy__MIN","decentralized_fully_connected_agents_5_hetero_label_skew_personalized - eval/avg_global_accuracy__MAX"
"5","43.532","43.532","43.532"
"10","45.214000000000006","45.214000000000006","45.214000000000006"
"15","47.074","47.074","47.074"
"20","47.656000000000006","47.656000000000006","47.656000000000006"
"25","47.738","47.738","47.738"
"30","48.328","48.328","48.328"
"35","49.178","49.178","49.178"
"40","50.034","50.034","50.034"
"45","49.952","49.952","49.952"
"50","50.078","50.078","50.078"
"55","50.698","50.698","50.698"
"60","51.088","51.088","51.088"
"65","51.598","51.598","51.598"
"70","51.48","51.48","51.48"
"75","51.916","51.916","51.916"
"80","52.928","52.928","52.928"
"85","52.757999999999996","52.757999999999996","52.757999999999996"
"90","53.038","53.038","53.038"
"95","52.870000000000005","52.870000000000005","52.870000000000005"
"100","53.508","53.508","53.508"
"105","54.306","54.306","54.306"
"110","54.29","54.29","54.29"
"115","54.251999999999995","54.251999999999995","54.251999999999995"
"120","54.652","54.652","54.652"
"125","54.384","54.384","54.384"
"130","54.838","54.838","54.838"
"135","54.922000000000004","54.922000000000004","54.922000000000004"
"140","55.476","55.476","55.476"
"145","55.30800000000001","55.30800000000001","55.30800000000001"
"150","55.188","55.188","55.188"
"155","55.54","55.54","55.54"
"160","55.88000000000001","55.88000000000001","55.88000000000001"
"165","55.90599999999999","55.90599999999999","55.90599999999999"
"170","55.64399999999999","55.64399999999999","55.64399999999999"
"175","55.6","55.6","55.6"
"180","56.894000000000005","56.894000000000005","56.894000000000005"
"185","56.50599999999999","56.50599999999999","56.50599999999999"
"190","56.794000000000004","56.794000000000004","56.794000000000004"
"195","56.902","56.902","56.902"
"200","56.94000000000001","56.94000000000001","56.94000000000001"
