"Step","combo_label_skew_disconnected_agents_5 - eval/avg_combo_accuracy","combo_label_skew_disconnected_agents_5 - eval/avg_combo_accuracy__MIN","combo_label_skew_disconnected_agents_5 - eval/avg_combo_accuracy__MAX"
"5","21.164","21.164","21.164"
"10","22.184","22.184","22.184"
"15","24.472","24.472","24.472"
"20","25.278","25.278","25.278"
"25","26.209999999999997","26.209999999999997","26.209999999999997"
"30","27.863999999999997","27.863999999999997","27.863999999999997"
"35","28.726","28.726","28.726"
"40","28.637999999999998","28.637999999999998","28.637999999999998"
"45","28.536","28.536","28.536"
"50","30.254","30.254","30.254"
"55","29.258000000000003","29.258000000000003","29.258000000000003"
"60","30.068","30.068","30.068"
"65","30.444","30.444","30.444"
"70","32.332","32.332","32.332"
"75","32.04600000000001","32.04600000000001","32.04600000000001"
"80","32.084","32.084","32.084"
"85","31.601999999999997","31.601999999999997","31.601999999999997"
"90","32.074","32.074","32.074"
"95","31.933999999999997","31.933999999999997","31.933999999999997"
"100","31.936","31.936","31.936"
"105","33.202","33.202","33.202"
"110","32.592","32.592","32.592"
"115","33.983999999999995","33.983999999999995","33.983999999999995"
"120","34.338","34.338","34.338"
"125","33.646","33.646","33.646"
"130","34.17","34.17","34.17"
"135","33.886","33.886","33.886"
"140","35.138","35.138","35.138"
"145","33.303999999999995","33.303999999999995","33.303999999999995"
"150","34.483999999999995","34.483999999999995","34.483999999999995"
"155","34.172","34.172","34.172"
"160","34.862","34.862","34.862"
"165","36.472","36.472","36.472"
"170","34.894000000000005","34.894000000000005","34.894000000000005"
"175","34.29","34.29","34.29"
"180","35.54600000000001","35.54600000000001","35.54600000000001"
"185","35.001999999999995","35.001999999999995","35.001999999999995"
"190","35.730000000000004","35.730000000000004","35.730000000000004"
"195","36.236","36.236","36.236"
"200","36.995999999999995","36.995999999999995","36.995999999999995"
