"Step","combo_label_skew_fully_connected_agents_5 - eval/avg_combo_accuracy","combo_label_skew_fully_connected_agents_5 - eval/avg_combo_accuracy__MIN","combo_label_skew_fully_connected_agents_5 - eval/avg_combo_accuracy__MAX"
"5","32.814","32.814","32.814"
"10","36.08200000000001","36.08200000000001","36.08200000000001"
"15","37.76800000000001","37.76800000000001","37.76800000000001"
"20","39.586","39.586","39.586"
"25","40.136","40.136","40.136"
"30","41.855999999999995","41.855999999999995","41.855999999999995"
"35","42.135999999999996","42.135999999999996","42.135999999999996"
"40","43.348","43.348","43.348"
"45","44.06999999999999","44.06999999999999","44.06999999999999"
"50","44.262","44.262","44.262"
"55","45.132","45.132","45.132"
"60","45.332","45.332","45.332"
"65","45.398","45.398","45.398"
"70","46.336000000000006","46.336000000000006","46.336000000000006"
"75","46.517999999999994","46.517999999999994","46.517999999999994"
"80","46.94","46.94","46.94"
"85","46.884","46.884","46.884"
"90","47.976","47.976","47.976"
"95","48.826","48.826","48.826"
"100","48.4","48.4","48.4"
"105","49.11","49.11","49.11"
"110","49.205999999999996","49.205999999999996","49.205999999999996"
"115","49.188","49.188","49.188"
"120","49.83","49.83","49.83"
"125","49.902","49.902","49.902"
"130","50.778","50.778","50.778"
"135","50.15","50.15","50.15"
"140","50.35799999999999","50.35799999999999","50.35799999999999"
"145","51.524","51.524","51.524"
"150","51.024","51.024","51.024"
"155","51.58","51.58","51.58"
"160","51.67","51.67","51.67"
"165","51.898","51.898","51.898"
"170","52.158","52.158","52.158"
"175","52.096000000000004","52.096000000000004","52.096000000000004"
"180","51.730000000000004","51.730000000000004","51.730000000000004"
"185","52.02","52.02","52.02"
"190","52.79600000000001","52.79600000000001","52.79600000000001"
"195","52.470000000000006","52.470000000000006","52.470000000000006"
"200","52.926","52.926","52.926"
