tsne_data_agent_0
tsne_dim_1,tsne_dim_2,label
18.466885,11.360189,3
7.1550984,0.84929895,3
15.767804,13.649927,3
7.242025,2.053234,3
-17.818707,10.185708,3
12.490284,5.177954,3
-15.987229,-10.195131,3
24.769524,-5.0011525,3
0.8259509,-7.7928653,3
11.605497,2.5519512,3
13.579077,0.34590575,3
1.6228522,4.4288726,3
-21.701696,6.7133646,3
4.3502107,0.47231326,3
13.094707,14.265972,3
18.301651,13.535911,3
-10.342862,4.8490953,3
11.258739,-4.2265697,3
9.21598,4.460953,3
1.5654593,2.055372,3
6.743861,1.6593257,3
13.619329,-3.812239,3
-13.1214905,8.837326,3
14.732374,2.859807,3
11.390247,-10.823167,3
8.276824,-3.3068686,3
14.371895,-2.2995026,3
7.0316844,11.923201,3
5.336519,0.25484306,3
-23.69886,3.5956943,3
14.390565,3.6096206,3
12.235921,1.9185816,3
-6.5095425,6.6846414,3
13.845336,2.664222,3
-14.78455,5.3522143,3
9.683164,3.8234134,3
-7.5255275,6.4677067,3
10.485229,4.70266,3
-17.133095,10.381634,3
10.819465,-6.5586,3
7.9167953,9.639497,3
9.04776,1.138922,3
20.14849,11.64307,3
12.871857,-3.772969,3
-1.3137461,-5.726452,3
8.860465,-3.2125566,3
12.1963625,10.095721,3
16.759897,14.04331,3
-9.939553,7.1836705,3
-9.48674,4.8890543,3
12.373865,-4.942828,3
-14.762673,-10.65399,3
9.704905,2.1973612,3
9.620187,7.4478884,3
6.0926113,18.028383,3
4.271982,0.038899135,3
11.153527,-0.31139997,3
-17.028212,10.673609,3
9.709549,-4.1362486,3
24.961245,-3.1180537,4
-12.689438,-3.7880104,4
-17.058722,-15.318816,4
4.627905,2.5543876,4
-7.1583176,-19.684362,4
-2.428424,-6.94517,4
4.478411,-9.227307,4
6.8312593,-1.019224,4
-6.0586495,-21.901924,4
-11.208448,-12.477612,4
10.830488,-9.0013,4
-2.158394,-16.182976,4
-5.1236944,-23.650587,4
-12.875027,-2.7445943,4
-14.145064,-5.2926145,4
-4.420418,-20.532446,4
-12.72428,-13.536252,4
-11.415208,-5.4227886,4
-0.84445745,-21.742737,4
-11.928581,-12.24802,4
