tsne_data_agent_2
tsne_dim_1,tsne_dim_2,label
-23.647547,0.8743884,3
-13.4638195,4.450464,3
-16.814486,3.107631,3
-15.831391,2.9862683,3
-3.0816212,-18.869537,3
-10.711132,1.2104242,3
17.320312,1.6153902,3
-7.508293,20.110357,3
13.466422,3.4796329,3
-6.8022346,0.98494864,3
-8.8972025,2.8199008,3
-2.8913863,-11.375875,3
-2.316821,-16.497047,3
-2.8923862,-6.1072645,3
-17.86517,2.587021,3
-22.117458,1.3499379,3
-1.8965381,-9.611812,3
7.7644315,12.538744,3
-7.7047496,2.3604991,3
0.14947212,6.7624564,3
-14.710562,3.167878,3
6.0994005,13.239497,3
-4.1925726,-8.49173,3
-12.456505,3.4191437,3
-10.877358,7.765691,3
5.6551995,15.406705,3
-10.771178,6.644697,3
-0.34075704,-10.114084,3
-2.615243,-5.1221724,3
5.1212287,-20.451916,3
-15.215028,1.6619772,3
-6.57873,3.1820767,3
-3.6564462,-15.534137,3
-7.6091714,5.185595,3
-0.15948477,-12.055429,3
-9.519266,4.371063,3
-3.88181,-15.312321,3
-9.763987,2.7269337,3
-1.6808355,-12.326721,3
6.439797,10.458328,3
-1.7755449,-0.9815601,3
-12.394189,2.3738368,3
-24.461365,1.0834981,3
-5.846826,4.040053,3
9.392513,9.637536,3
7.9885197,12.076126,3
-10.833413,3.02072,3
-18.342062,3.2025046,3
-0.9083793,0.91678125,3
-0.8022406,1.3663602,3
2.4905646,14.880761,3
17.306208,3.4939528,3
-12.175581,1.4633391,3
-13.068911,-1.3203814,3
0.95135546,-3.2089138,3
-2.8525095,-5.6840563,3
-3.6144524,6.865858,3
-2.4178808,-12.649604,3
-5.5696063,4.692015,3
-10.481007,21.955105,4
13.666711,-10.081116,4
-4.010658,-5.875171,4
-4.028682,-6.92584,4
10.456892,15.315025,4
11.108041,9.50394,4
5.027195,10.841698,4
-13.240707,5.123317,4
12.218879,19.499084,4
15.321926,6.6228104,4
7.0320477,15.704246,4
16.646582,13.4412775,4
13.862303,20.14478,4
13.194415,-11.532883,4
15.995369,-5.5038915,4
